E	j	j
V RHE		mA cm-2
ML_030
1.49997	0.00506	0.3612
1.50201	0.00525	0.37527
1.50397	0.00517	0.36963
1.506	0.00533	0.38072
1.50794	0.00525	0.37503
1.51	0.00541	0.38674
1.51195	0.00528	0.37697
1.51398	0.00546	0.38982
1.51594	0.00539	0.38483
1.51799	0.00553	0.39532
1.51995	0.00543	0.3875
1.52198	0.00565	0.4037
1.52394	0.00557	0.39754
1.52597	0.00575	0.41037
1.52792	0.0057	0.40695
1.52995	0.00594	0.42432
1.53192	0.0059	0.42126
1.53396	0.00609	0.43502
1.53591	0.006	0.42831
1.53794	0.00619	0.44205
1.53991	0.00616	0.44028
1.54194	0.00637	0.4548
1.54391	0.00637	0.45492
1.54598	0.00658	0.46973
1.54794	0.00652	0.46605
1.54996	0.0068	0.48538
1.55192	0.00676	0.48306
1.55394	0.00699	0.49962
1.55591	0.00701	0.50062
1.55793	0.00743	0.53068
1.55991	0.00742	0.52972
1.56192	0.00765	0.54671
1.56388	0.00774	0.55256
1.56591	0.00805	0.57471
1.56787	0.00819	0.58527
1.5699	0.00851	0.60765
1.57187	0.00862	0.61606
1.57388	0.00908	0.6485
1.57585	0.0092	0.65696
1.57786	0.00964	0.6889
1.57983	0.00988	0.70579
1.58185	0.01034	0.73866
1.5838	0.01069	0.76389
1.58582	0.01121	0.80073
1.58779	0.01151	0.82221
1.58979	0.01215	0.86767
1.59175	0.01253	0.89533
1.59378	0.01319	0.94245
1.59578	0.01372	0.98017
1.59779	0.01452	1.03741
1.59975	0.01516	1.08266
1.60176	0.016	1.14279
1.60371	0.01667	1.19102
1.60571	0.01768	1.26291
1.60767	0.01862	1.33023
1.60969	0.01959	1.39951
1.61166	0.02048	1.4632
1.61365	0.02172	1.55133
1.61563	0.02261	1.61495
1.61763	0.02382	1.70131
1.61967	0.02484	1.77396
1.62168	0.02601	1.85782
1.62366	0.02695	1.92497
1.62568	0.02816	2.0116
1.62767	0.02904	2.07395
1.62971	0.03007	2.14772
1.63167	0.03086	2.20463
1.63371	0.03188	2.2768
1.63569	0.03256	2.3258
1.63771	0.0335	2.39281
1.63967	0.03432	2.45148
1.64166	0.03534	2.52442
1.64365	0.03631	2.5933
1.64564	0.03755	2.68221
1.64759	0.03875	2.76757
1.64958	0.04024	2.87424
1.65153	0.04166	2.97547
1.6535	0.04345	3.10366
1.65546	0.04512	3.22321
1.65745	0.0471	3.3644
1.6594	0.04896	3.4972
1.66139	0.05115	3.65339
1.66335	0.05316	3.79712
1.66533	0.05556	3.9686
1.66731	0.05779	4.12816
1.66929	0.06033	4.30951
1.67125	0.06273	4.48061
1.67325	0.06536	4.66855
1.6752	0.06791	4.85079
1.6772	0.07073	5.05182
1.67915	0.07349	5.24906
1.68114	0.07654	5.46722
1.68311	0.07934	5.66728
1.6851	0.08247	5.89046
1.68707	0.08547	6.10482
1.68911	0.08874	6.33842
1.68987	0.08518	6.08401
1.6881	0.07583	5.41665
1.68551	0.06769	4.83466
1.68312	0.06201	4.42906
1.68096	0.05732	4.09424
1.67893	0.05306	3.79
1.67689	0.04878	3.48459
1.67483	0.0451	3.22125
1.67276	0.04147	2.96192
1.67072	0.03834	2.7386
1.66866	0.03522	2.51561
1.66662	0.0325	2.32179
1.66459	0.02976	2.12562
1.66257	0.02738	1.95536
1.66052	0.02501	1.78651
1.65851	0.02298	1.64113
1.65647	0.02073	1.48074
1.65447	0.01888	1.34839
1.65244	0.01693	1.20958
1.65044	0.01536	1.09723
1.64841	0.01361	0.97181
1.6464	0.01224	0.87441
1.64434	0.01067	0.76241
1.64234	0.00943	0.67356
1.64032	0.00798	0.57022
1.63833	0.00684	0.48882
1.63629	0.00564	0.40279
1.6343	0.00448	0.32021
1.63229	0.00322	0.22971
1.6303	0.00217	0.15522
1.62828	9.87436E-4	0.07053
1.62629	1.46937E-4	0.0105
1.62427	-9.32702E-4	-0.06662
1.62227	-0.0018	-0.12835
1.62021	-0.0028	-0.19995
1.61821	-0.00351	-0.25081
1.61617	-0.00431	-0.3076
1.61417	-0.00478	-0.34124
1.61214	-0.00543	-0.38813
1.61014	-0.0058	-0.41417
1.60809	-0.00626	-0.44702
1.60608	-0.00635	-0.45323
1.60407	-0.00663	-0.47356
1.60207	-0.00659	-0.4707
1.60004	-0.00665	-0.47517
1.59804	-0.00651	-0.46494
1.59599	-0.0065	-0.46444
1.59398	-0.00622	-0.44399
1.59197	-0.00613	-0.43773
1.58998	-0.00577	-0.41233
1.58798	-0.00563	-0.40185
1.58599	-0.00521	-0.37241
1.58398	-0.00516	-0.3689
1.58199	-0.0048	-0.34265
1.57999	-0.0047	-0.3356
1.57801	-0.00445	-0.3179
1.57601	-0.00439	-0.31341
1.57403	-0.00409	-0.29224
1.57202	-0.00403	-0.28811
1.57003	-0.00381	-0.27224
1.56802	-0.00385	-0.27525
1.56604	-0.00358	-0.25542
1.56403	-0.00362	-0.25891
1.56206	-0.00342	-0.24405
1.56005	-0.00348	-0.24878
1.55807	-0.00334	-0.23851
1.55606	-0.00339	-0.24217
1.55408	-0.00329	-0.2349
1.55207	-0.00341	-0.24358
1.55008	-0.00309	-0.22081
1.54811	-0.00324	-0.23173
1.54611	-0.00315	-0.22532
1.54403	-0.00323	-0.23075
1.54208	-0.00306	-0.21873
1.54006	-0.00319	-0.22809
1.53807	-0.00308	-0.21995
1.53607	-0.00319	-0.22766
1.53408	-0.00299	-0.21364
1.53207	-0.00318	-0.22692
1.53008	-0.00304	-0.21739
1.52807	-0.00314	-0.22427
1.5261	-0.00301	-0.21529
1.52408	-0.00317	-0.22649
1.52211	-0.00306	-0.21878
1.52009	-0.00321	-0.22905
1.51809	-0.00307	-0.21923
1.51608	-0.00319	-0.22814
1.5141	-0.00307	-0.21904
1.51209	-0.0032	-0.22855
1.51011	-0.00308	-0.22031
1.50809	-0.0032	-0.22836
1.50611	-0.00304	-0.21746
1.50411	-0.00322	-0.22984
1.50212	-0.00308	-0.21978
1.50011	-0.00321	-0.22962
1.49813	-0.00304	-0.21694
1.49612	-0.00317	-0.22678
1.49412	-0.00304	-0.21696
1.49209	-0.00318	-0.22711
1.49011	-0.00304	-0.21722
1.48809	-0.00318	-0.22695
1.48611	-0.003	-0.21429
1.4841	-0.00309	-0.22093
1.48211	-0.00295	-0.21075
1.4801	-0.0031	-0.22129
1.47813	-0.00298	-0.21314
1.47611	-0.00311	-0.22198
1.47415	-0.00298	-0.21302
1.47213	-0.00313	-0.22391
1.47015	-0.00295	-0.21082
1.46812	-0.00305	-0.21811
1.46615	-0.00296	-0.21159
1.46413	-0.00309	-0.22059
1.46214	-0.00292	-0.20827
1.46014	-0.00306	-0.21871
1.45815	-0.00288	-0.20592
1.45614	-0.00311	-0.22193
1.45416	-0.00298	-0.21295
1.45214	-0.00311	-0.2221
1.45018	-0.00298	-0.21316
1.44816	-0.00313	-0.22363
1.44618	-0.00297	-0.21245
1.44417	-0.00314	-0.2243
1.44215	-0.00297	-0.21228
1.44012	-0.0031	-0.22143
1.43815	-0.00298	-0.21278
1.43613	-0.00308	-0.21997
1.43416	-0.00293	-0.20901
1.43215	-0.00311	-0.22217
1.43015	-0.00297	-0.2124
1.42814	-0.00308	-0.22016
1.42617	-0.003	-0.21419
1.42415	-0.00315	-0.22468
1.42218	-0.00296	-0.21161
1.42016	-0.00311	-0.22246
1.41818	-0.00295	-0.21042
1.41613	-0.00313	-0.22387
1.41414	-0.003	-0.21414
1.41212	-0.00313	-0.22391
1.41015	-0.00298	-0.21292
1.40814	-0.00312	-0.22274
1.40616	-0.00298	-0.2128
1.40413	-0.00317	-0.22621
1.40217	-0.003	-0.21457
1.40015	-0.00321	-0.22953
1.39818	-0.003	-0.21402
1.39616	-0.00322	-0.22998
1.39418	-0.00306	-0.21873
1.39216	-0.0032	-0.22879
1.39014	-0.00302	-0.21541
1.38813	-0.0032	-0.22876
1.38615	-0.00307	-0.21911
1.38414	-0.00325	-0.2323
1.38217	-0.00302	-0.21605
1.38015	-0.00321	-0.22936
1.37815	-0.00305	-0.2178
1.37615	-0.00324	-0.23173
1.37417	-0.00305	-0.21799
1.37216	-0.00323	-0.23046
1.37018	-0.00308	-0.2199
1.36817	-0.00323	-0.23106
1.36619	-0.00306	-0.2188
1.36416	-0.00326	-0.23271
1.36218	-0.00308	-0.21966
1.36017	-0.00325	-0.2318
1.35819	-0.00306	-0.21835
1.35618	-0.00317	-0.22668
1.3542	-0.00301	-0.2151
1.35217	-0.00326	-0.23304
1.3502	-0.00307	-0.21899
1.34819	-0.00325	-0.23204
1.34621	-0.0031	-0.22162
1.3442	-0.00329	-0.23502
1.34222	-0.00307	-0.21954
1.34017	-0.00327	-0.23354
1.33817	-0.00309	-0.22078
1.33617	-0.00323	-0.23044
1.33419	-0.00307	-0.21945
1.33217	-0.00324	-0.23144
1.3302	-0.00303	-0.21653
1.32818	-0.00326	-0.23278
1.32619	-0.00309	-0.22095
1.32417	-0.00326	-0.23278
1.32222	-0.00308	-0.21995
1.32018	-0.00327	-0.23349
1.31822	-0.00305	-0.21813
1.31619	-0.00325	-0.23204
1.31418	-0.00306	-0.21835
1.31216	-0.00318	-0.22726
1.31019	-0.00301	-0.21531
1.30816	-0.00321	-0.2291
1.3062	-0.00298	-0.21307
1.30417	-0.00318	-0.22743
1.30221	-0.00299	-0.21355
1.30017	-0.0032	-0.22881
1.29821	-0.003	-0.21398
1.29618	-0.00316	-0.2258
1.29423	-0.00297	-0.21242
1.29221	-0.00318	-0.22692
1.29024	-0.00299	-0.21364
1.28816	-0.00315	-0.22506
1.28621	-0.00297	-0.21211
1.28416	-0.00315	-0.22473
1.28221	-0.00296	-0.21125
1.28017	-0.00313	-0.22322
1.27822	-0.00289	-0.20638
1.27617	-0.00313	-0.22348
1.27423	-0.00293	-0.20927
1.27218	-0.00315	-0.22523
1.27024	-0.00295	-0.21049
1.26819	-0.00311	-0.22215
1.26625	-0.00296	-0.21108
1.26419	-0.00313	-0.22332
1.26225	-0.00291	-0.20803
1.26019	-0.00311	-0.22191
1.25825	-0.00289	-0.20612
1.2562	-0.00312	-0.2232
1.25426	-0.0029	-0.20712
1.2522	-0.0031	-0.22138
1.25027	-0.00293	-0.20927
1.24819	-0.00318	-0.2268
1.24628	-0.00295	-0.21051
1.24421	-0.00314	-0.22439
1.2423	-0.00298	-0.21297
1.24022	-0.00313	-0.22375
1.23829	-0.00296	-0.21137
1.23617	-0.00317	-0.22611
1.23427	-0.00297	-0.21209
1.23217	-0.00317	-0.22637
1.23029	-0.00297	-0.21223
1.22819	-0.00316	-0.22547
1.22629	-0.00294	-0.20968
1.22419	-0.00318	-0.22692
1.2223	-0.00296	-0.21166
1.2202	-0.00316	-0.22606
1.21829	-0.00296	-0.21147
1.2162	-0.00319	-0.22802
1.21431	-0.00301	-0.21491
1.21218	-0.00317	-0.22659
1.21026	-0.003	-0.2146
1.20817	-0.00323	-0.2306
1.20627	-0.00303	-0.21632
1.20418	-0.00319	-0.22759
1.20229	-0.00296	-0.21156
1.20019	-0.0032	-0.22881
1.19829	-0.00302	-0.21555
1.19619	-0.00322	-0.22972
1.19431	-0.00303	-0.21656
1.1922	-0.00328	-0.23443
1.19032	-0.00308	-0.21973
1.18821	-0.00324	-0.23137
1.1863	-0.00304	-0.21734
1.18417	-0.00329	-0.23481
1.18228	-0.00305	-0.21763
1.18017	-0.00322	-0.23008
1.1783	-0.00307	-0.21921
1.17618	-0.00321	-0.2295
1.17431	-0.00302	-0.21581
1.17218	-0.00324	-0.23144
1.1703	-0.00311	-0.22241
1.16819	-0.00331	-0.23615
1.16631	-0.00311	-0.22243
1.1642	-0.00333	-0.23772
1.16233	-0.00314	-0.22413
1.1602	-0.00333	-0.23803
1.15832	-0.00314	-0.22427
1.15621	-0.00332	-0.23689
1.15432	-0.00314	-0.22408
1.15223	-0.00328	-0.23416
1.15033	-0.00317	-0.22609
1.14822	-0.00335	-0.23937
1.14634	-0.00321	-0.22895
1.14423	-0.00336	-0.23982
1.14235	-0.00324	-0.23151
1.14024	-0.00341	-0.24346
1.13837	-0.00326	-0.23254
1.13623	-0.00345	-0.24642
1.13432	-0.00327	-0.2333
1.13221	-0.00345	-0.24642
1.13033	-0.00327	-0.23383
1.12822	-0.00347	-0.2479
1.12635	-0.00335	-0.23935
1.12422	-0.00345	-0.24625
1.12234	-0.00327	-0.2334
1.12022	-0.00346	-0.24704
1.11835	-0.00336	-0.24021
1.11623	-0.0035	-0.24969
1.11436	-0.00336	-0.23968
1.11225	-0.0035	-0.25007
1.11034	-0.00338	-0.24154
1.10818	-0.00353	-0.25225
1.10631	-0.00339	-0.24205
1.1042	-0.00357	-0.25511
1.10232	-0.00344	-0.24601
1.1002	-0.00352	-0.25165
1.09832	-0.00339	-0.24245
1.09621	-0.0036	-0.25748
1.09433	-0.0035	-0.24993
1.09222	-0.00364	-0.25975
1.09034	-0.00349	-0.24936
1.08824	-0.0037	-0.26407
1.08636	-0.00357	-0.25509
1.0842	-0.00367	-0.26245
1.08231	-0.00355	-0.25368
1.0802	-0.00374	-0.26694
1.07832	-0.00362	-0.25879
1.07621	-0.00372	-0.26579
1.07432	-0.00353	-0.25201
1.07222	-0.00374	-0.26739
1.07032	-0.00365	-0.26068
1.06823	-0.0038	-0.27138
1.06634	-0.00366	-0.26123
1.06423	-0.00385	-0.2747
1.06236	-0.00373	-0.26649
1.06024	-0.00384	-0.27456
1.05835	-0.00372	-0.26577
1.05624	-0.00393	-0.28041
1.05436	-0.00378	-0.27019
1.05225	-0.0039	-0.27884
1.05036	-0.00378	-0.27019
1.04824	-0.0039	-0.27845
1.04637	-0.00376	-0.26833
1.04426	-0.00393	-0.28084
1.04237	-0.00385	-0.27485
1.04027	-0.00405	-0.28923
1.03839	-0.00392	-0.27994
1.03628	-0.00405	-0.28918
1.0344	-0.00394	-0.28142
1.03224	-0.00411	-0.2937
1.03036	-0.00395	-0.28244
1.02825	-0.00413	-0.29499
1.02636	-0.004	-0.28569
1.02426	-0.00412	-0.29429
1.02236	-0.00392	-0.28017
1.02025	-0.00412	-0.29425
1.01837	-0.00403	-0.28794
1.01628	-0.00421	-0.30062
1.01439	-0.00406	-0.29002
1.01228	-0.0042	-0.30031
1.0104	-0.00411	-0.29324
1.00826	-0.00426	-0.3043
1.00634	-0.00414	-0.2957
1.00424	-0.00425	-0.30354
1.00235	-0.00417	-0.29807
1.00025	-0.00427	-0.30524
0.99836	-0.00415	-0.29637
0.99625	-0.0043	-0.30719
0.99437	-0.00423	-0.30189
0.99226	-0.0044	-0.31453
0.99037	-0.00429	-0.30653
0.98827	-0.00441	-0.31517
0.98638	-0.00431	-0.3077
0.98429	-0.00447	-0.3194
0.98237	-0.00437	-0.31181
0.98024	-0.00449	-0.32072
0.97835	-0.00438	-0.31317
0.97625	-0.00455	-0.32497
0.97437	-0.00442	-0.31603
0.97226	-0.00452	-0.32282
0.97036	-0.00441	-0.31482
0.96827	-0.0046	-0.32848
0.96637	-0.0045	-0.32143
0.96428	-0.00463	-0.33065
