E	j	j C	j C	j  Ageo
V RHE	mA cm-2	mA mF-1	mA mF-1	mA cm-2
ML_047		I norm by capacitance @ 1.2 VRHE	I norm by capacitance @ 0.5 VRHE	I norm by Ageo
1.33456	5.34558E-4	0.00826	0.01205	0.02813
1.33506	5.0418E-4	0.00779	0.01136	0.02654
1.33556	5.6567E-4	0.00874	0.01275	0.02977
1.33606	5.57033E-4	0.00861	0.01255	0.02932
1.33656	5.01679E-4	0.00775	0.01131	0.0264
1.33705	5.51064E-4	0.00852	0.01242	0.029
1.33757	5.27722E-4	0.00816	0.01189	0.02777
1.33805	4.98712E-4	0.00771	0.01124	0.02625
1.33855	5.25421E-4	0.00812	0.01184	0.02765
1.33905	5.11883E-4	0.00791	0.01154	0.02694
1.33955	5.33091E-4	0.00824	0.01201	0.02806
1.34009	5.30323E-4	0.0082	0.01195	0.02791
1.34059	5.26522E-4	0.00814	0.01186	0.02771
1.3411	5.63569E-4	0.00871	0.0127	0.02966
1.3416	5.03447E-4	0.00778	0.01135	0.0265
1.3421	5.0478E-4	0.0078	0.01138	0.02657
1.3426	5.62802E-4	0.0087	0.01268	0.02962
1.3431	4.8614E-4	0.00751	0.01096	0.02559
1.3436	5.60501E-4	0.00866	0.01263	0.0295
1.34409	5.45762E-4	0.00844	0.0123	0.02872
1.34459	5.39527E-4	0.00834	0.01216	0.0284
1.34509	5.65269E-4	0.00874	0.01274	0.02975
1.34559	5.4813E-4	0.00847	0.01235	0.02885
1.34608	5.2959E-4	0.00819	0.01193	0.02787
1.34659	5.42728E-4	0.00839	0.01223	0.02856
1.34708	5.31424E-4	0.00821	0.01198	0.02797
1.34759	5.23954E-4	0.0081	0.01181	0.02758
1.34808	5.68337E-4	0.00878	0.01281	0.02991
1.34858	5.78008E-4	0.00893	0.01303	0.03042
1.34908	5.37926E-4	0.00831	0.01212	0.02831
1.34958	5.51998E-4	0.00853	0.01244	0.02905
1.35008	5.64603E-4	0.00873	0.01272	0.02972
1.35057	5.66637E-4	0.00876	0.01277	0.02982
1.35108	5.29556E-4	0.00818	0.01193	0.02787
1.35157	5.64236E-4	0.00872	0.01271	0.0297
1.35207	6.22057E-4	0.00961	0.01402	0.03274
1.35258	5.99549E-4	0.00927	0.01351	0.03156
1.35308	5.78708E-4	0.00894	0.01304	0.03046
1.35357	6.3953E-4	0.00988	0.01441	0.03366
1.35406	6.29493E-4	0.00973	0.01419	0.03313
1.35456	6.05484E-4	0.00936	0.01364	0.03187
1.35506	6.45566E-4	0.00998	0.01455	0.03398
1.35556	6.13921E-4	0.00949	0.01383	0.03231
1.35607	6.36729E-4	0.00984	0.01435	0.03351
1.35657	6.21157E-4	0.0096	0.014	0.03269
1.35706	5.98982E-4	0.00926	0.0135	0.03153
1.35757	5.62735E-4	0.0087	0.01268	0.02962
1.35806	6.04884E-4	0.00935	0.01363	0.03184
1.35857	5.89178E-4	0.00911	0.01328	0.03101
1.35906	5.88578E-4	0.0091	0.01326	0.03098
1.35956	6.18689E-4	0.00956	0.01394	0.03256
1.36006	5.74806E-4	0.00888	0.01295	0.03025
1.36056	5.62635E-4	0.0087	0.01268	0.02961
1.36106	5.94113E-4	0.00918	0.01339	0.03127
1.36156	6.11987E-4	0.00946	0.01379	0.03221
1.36205	5.78274E-4	0.00894	0.01303	0.03044
1.36256	5.24988E-4	0.00811	0.01183	0.02763
1.36304	6.58804E-4	0.01018	0.01485	0.03467
1.36355	5.64636E-4	0.00873	0.01272	0.02972
1.36405	5.572E-4	0.00861	0.01256	0.02933
1.36455	6.84514E-4	0.01058	0.01543	0.03603
1.36504	6.54636E-4	0.01012	0.01475	0.03445
1.36555	6.47233E-4	0.01	0.01459	0.03406
1.36605	6.46433E-4	0.00999	0.01457	0.03402
1.36656	6.45833E-4	0.00998	0.01455	0.03399
1.36706	5.68471E-4	0.00879	0.01281	0.02992
1.36755	6.22791E-4	0.00963	0.01403	0.03278
1.36806	5.99716E-4	0.00927	0.01351	0.03156
1.36855	5.70638E-4	0.00882	0.01286	0.03003
1.36906	6.47E-4	0.01	0.01458	0.03405
1.36956	6.07685E-4	0.00939	0.01369	0.03198
1.37005	6.17889E-4	0.00955	0.01392	0.03252
1.37055	6.18456E-4	0.00956	0.01394	0.03255
1.37104	6.07685E-4	0.00939	0.01369	0.03198
1.37154	6.15922E-4	0.00952	0.01388	0.03242
1.37205	5.68337E-4	0.00878	0.01281	0.02991
1.37254	6.05218E-4	0.00935	0.01364	0.03185
1.37304	6.40698E-4	0.0099	0.01444	0.03372
1.37354	5.90279E-4	0.00912	0.0133	0.03107
1.37404	6.27993E-4	0.00971	0.01415	0.03305
1.37454	6.22657E-4	0.00962	0.01403	0.03277
1.37504	5.37426E-4	0.00831	0.01211	0.02829
1.37553	6.44466E-4	0.00996	0.01452	0.03392
1.37603	6.1969E-4	0.00958	0.01396	0.03262
1.37653	5.78741E-4	0.00894	0.01304	0.03046
1.37703	6.18923E-4	0.00957	0.01395	0.03257
1.37752	7.06655E-4	0.01092	0.01592	0.03719
1.37804	5.91813E-4	0.00915	0.01334	0.03115
1.37853	6.22024E-4	0.00961	0.01402	0.03274
1.37903	6.2896E-4	0.00972	0.01417	0.0331
1.37952	5.78908E-4	0.00895	0.01305	0.03047
1.38002	6.90116E-4	0.01067	0.01555	0.03632
1.38053	6.3973E-4	0.00989	0.01442	0.03367
1.38102	6.7491E-4	0.01043	0.01521	0.03552
1.38153	6.39064E-4	0.00988	0.0144	0.03363
1.38203	6.46066E-4	0.00999	0.01456	0.034
1.38253	6.09386E-4	0.00942	0.01373	0.03207
1.38303	5.97448E-4	0.00923	0.01346	0.03144
1.38352	6.03984E-4	0.00934	0.01361	0.03179
1.38402	6.26492E-4	0.00968	0.01412	0.03297
1.38451	5.80542E-4	0.00897	0.01308	0.03055
1.38502	5.99582E-4	0.00927	0.01351	0.03156
1.38552	6.55703E-4	0.01013	0.01478	0.03451
1.38602	6.16922E-4	0.00954	0.0139	0.03247
1.38652	6.04084E-4	0.00934	0.01361	0.03179
1.38701	6.27893E-4	0.0097	0.01415	0.03305
1.38752	6.23725E-4	0.00964	0.01406	0.03283
1.38802	5.65336E-4	0.00874	0.01274	0.02975
1.38852	6.18956E-4	0.00957	0.01395	0.03258
1.38902	5.97181E-4	0.00923	0.01346	0.03143
1.38951	6.16188E-4	0.00952	0.01389	0.03243
1.39002	6.54336E-4	0.01011	0.01475	0.03444
1.39051	6.49401E-4	0.01004	0.01463	0.03418
1.39103	6.25258E-4	0.00966	0.01409	0.03291
1.39155	6.48767E-4	0.01003	0.01462	0.03415
1.39206	6.29427E-4	0.00973	0.01418	0.03313
1.39256	5.72272E-4	0.00885	0.0129	0.03012
1.39306	6.25358E-4	0.00967	0.01409	0.03291
1.39356	6.85014E-4	0.01059	0.01544	0.03605
1.39406	6.49901E-4	0.01004	0.01465	0.03421
1.39456	6.41498E-4	0.00991	0.01446	0.03376
1.39506	6.88882E-4	0.01065	0.01552	0.03626
1.39555	6.16655E-4	0.00953	0.0139	0.03246
1.39605	6.61072E-4	0.01022	0.0149	0.03479
1.39655	6.65673E-4	0.01029	0.015	0.03504
1.39704	6.44832E-4	0.00997	0.01453	0.03394
1.39755	6.99819E-4	0.01082	0.01577	0.03683
1.39804	6.98652E-4	0.0108	0.01574	0.03677
1.39855	7.4747E-4	0.01155	0.01684	0.03934
1.39904	6.44699E-4	0.00996	0.01453	0.03393
1.39954	7.65577E-4	0.01183	0.01725	0.04029
1.40004	6.90616E-4	0.01067	0.01556	0.03635
1.40054	7.14358E-4	0.01104	0.0161	0.0376
1.40105	6.78211E-4	0.01048	0.01528	0.0357
1.40153	7.15325E-4	0.01106	0.01612	0.03765
1.40204	7.48904E-4	0.01158	0.01688	0.03942
1.40254	7.53906E-4	0.01165	0.01699	0.03968
1.40304	7.44336E-4	0.0115	0.01677	0.03918
1.40353	7.26763E-4	0.01123	0.01638	0.03825
1.40404	7.04655E-4	0.01089	0.01588	0.03709
1.40454	6.86481E-4	0.01061	0.01547	0.03613
1.40502	7.54139E-4	0.01166	0.01699	0.03969
1.40553	7.23428E-4	0.01118	0.0163	0.03808
1.40603	8.00257E-4	0.01237	0.01803	0.04212
1.40653	7.73313E-4	0.01195	0.01743	0.0407
1.40703	7.0949E-4	0.01097	0.01599	0.03734
1.40753	7.57341E-4	0.01171	0.01707	0.03986
1.40803	7.01653E-4	0.01084	0.01581	0.03693
1.40852	6.77778E-4	0.01048	0.01527	0.03567
1.40904	6.76711E-4	0.01046	0.01525	0.03562
1.40952	6.70042E-4	0.01036	0.0151	0.03527
1.41002	6.9205E-4	0.0107	0.0156	0.03642
1.41053	7.07556E-4	0.01094	0.01594	0.03724
1.41102	7.12624E-4	0.01101	0.01606	0.03751
1.41153	6.96351E-4	0.01076	0.01569	0.03665
1.41202	6.61472E-4	0.01022	0.01491	0.03481
1.41252	6.95118E-4	0.01074	0.01566	0.03659
1.41301	7.01687E-4	0.01085	0.01581	0.03693
1.41352	6.49034E-4	0.01003	0.01463	0.03416
1.41401	7.02354E-4	0.01086	0.01583	0.03697
1.41451	7.61442E-4	0.01177	0.01716	0.04008
1.41501	7.04955E-4	0.0109	0.01589	0.0371
1.41551	7.05521E-4	0.0109	0.0159	0.03713
1.41601	7.41068E-4	0.01145	0.0167	0.039
1.41652	6.66774E-4	0.01031	0.01503	0.03509
1.41706	6.66507E-4	0.0103	0.01502	0.03508
1.41755	7.0072E-4	0.01083	0.01579	0.03688
1.41806	6.90716E-4	0.01068	0.01557	0.03635
1.41856	6.89249E-4	0.01065	0.01553	0.03628
1.41905	7.20694E-4	0.01114	0.01624	0.03793
1.41955	7.0202E-4	0.01085	0.01582	0.03695
1.42006	7.03788E-4	0.01088	0.01586	0.03704
1.42056	7.47737E-4	0.01156	0.01685	0.03935
1.42104	7.361E-4	0.01138	0.01659	0.03874
1.42156	7.28263E-4	0.01126	0.01641	0.03833
1.42205	7.19927E-4	0.01113	0.01622	0.03789
1.42254	7.36533E-4	0.01138	0.0166	0.03876
1.42305	7.58141E-4	0.01172	0.01708	0.0399
1.42354	7.75747E-4	0.01199	0.01748	0.04083
1.42404	7.9999E-4	0.01236	0.01803	0.0421
1.42455	7.78815E-4	0.01204	0.01755	0.04099
1.42504	7.44236E-4	0.0115	0.01677	0.03917
1.42554	8.50108E-4	0.01314	0.01916	0.04474
1.42604	7.70912E-4	0.01192	0.01737	0.04057
1.42654	7.88385E-4	0.01219	0.01777	0.04149
1.42703	8.26566E-4	0.01278	0.01863	0.0435
1.42753	8.10127E-4	0.01252	0.01826	0.04264
1.42803	8.07793E-4	0.01249	0.0182	0.04252
1.42853	8.4634E-4	0.01308	0.01907	0.04454
1.42902	8.11061E-4	0.01254	0.01828	0.04269
1.42955	7.73047E-4	0.01195	0.01742	0.04069
1.43003	7.92554E-4	0.01225	0.01786	0.04171
1.43053	8.49008E-4	0.01312	0.01913	0.04468
1.43102	8.29167E-4	0.01282	0.01869	0.04364
1.43152	9.10798E-4	0.01408	0.02052	0.04794
1.43203	8.47074E-4	0.01309	0.01909	0.04458
1.43253	8.24699E-4	0.01275	0.01858	0.04341
1.43304	8.271E-4	0.01278	0.01864	0.04353
1.43353	8.21331E-4	0.01269	0.01851	0.04323
1.43403	7.70812E-4	0.01191	0.01737	0.04057
1.43453	7.77315E-4	0.01201	0.01752	0.04091
1.43502	8.09593E-4	0.01251	0.01824	0.04261
1.43552	8.35236E-4	0.01291	0.01882	0.04396
1.43602	7.72813E-4	0.01194	0.01742	0.04067
1.43653	8.05525E-4	0.01245	0.01815	0.0424
1.43703	8.1016E-4	0.01252	0.01826	0.04264
1.43752	7.60008E-4	0.01175	0.01713	0.04
1.43803	8.08593E-4	0.0125	0.01822	0.04256
1.43852	7.62809E-4	0.01179	0.01719	0.04015
1.43902	7.77481E-4	0.01202	0.01752	0.04092
1.43953	8.0079E-4	0.01238	0.01805	0.04215
1.44002	7.92354E-4	0.01225	0.01786	0.0417
1.44051	8.0876E-4	0.0125	0.01823	0.04257
1.44101	8.07626E-4	0.01248	0.0182	0.04251
1.44151	8.56911E-4	0.01324	0.01931	0.0451
1.44202	8.09227E-4	0.01251	0.01824	0.04259
1.44254	7.90019E-4	0.01221	0.0178	0.04158
