E	j	j C	j C	j  Ageo
V RHE	mA cm-2	mA mF-1	mA mF-1	mA cm-2
ML_074		I norm by capacitance @ 1.2 VRHE	I norm by capacitance @ 0.5 VRHE	I norm by Ageo
1.37853	-7.07E-07	-6.35E-05	-1.02E-04	-3.37E-05
1.37903	2.37E-05	0.00212	0.00343	0.00113
1.37952	2.11E-05	0.00189	0.00305	0.001
1.38002	1.60E-05	0.00143	0.00231	7.60E-04
1.38052	2.89E-05	0.00259	0.00418	0.00137
1.38102	-1.51E-05	-0.00136	-0.00219	-7.20E-04
1.38152	-9.88E-06	-8.87E-04	-0.00143	-4.70E-04
1.38203	2.22E-05	0.00199	0.00321	0.00106
1.38252	-7.40E-07	-6.65E-05	-1.07E-04	-3.53E-05
1.38301	-3.06E-05	-0.00274	-0.00443	-0.00145
1.38352	-1.77E-05	-0.00159	-0.00257	-8.43E-04
1.38401	-2.62E-05	-0.00236	-0.0038	-0.00125
1.38451	-5.98E-05	-0.00537	-0.00866	-0.00285
1.38501	-4.50E-05	-0.00404	-0.00652	-0.00214
1.38552	-3.77E-05	-0.00338	-0.00546	-0.00179
1.38601	-4.40E-05	-0.00395	-0.00637	-0.00209
1.38651	-2.03E-05	-0.00183	-0.00295	-9.69E-04
1.38702	1.79E-05	0.00161	0.0026	8.54E-04
1.38751	-3.18E-05	-0.00285	-0.0046	-0.00151
1.38801	-2.71E-05	-0.00243	-0.00393	-0.00129
1.38852	-5.94E-06	-5.33E-04	-8.61E-04	-2.83E-04
1.38901	-4.21E-05	-0.00378	-0.00609	-0.002
1.38951	-2.26E-05	-0.00203	-0.00327	-0.00108
1.39001	-7.07E-07	-6.35E-05	-1.02E-04	-3.37E-05
1.39051	-2.22E-05	-0.002	-0.00322	-0.00106
1.39101	-3.77E-05	-0.00338	-0.00546	-0.00179
1.39155	1.18E-05	0.00106	0.00171	5.63E-04
1.39205	5.37E-05	0.00482	0.00778	0.00256
1.39255	-1.50E-05	-0.00135	-0.00218	-7.16E-04
1.39306	3.50E-05	0.00315	0.00508	0.00167
1.39355	6.22E-05	0.00559	0.00902	0.00296
1.39405	5.63E-06	5.05E-04	8.15E-04	2.68E-04
1.39456	2.20E-05	0.00198	0.00319	0.00105
1.39505	3.92E-05	0.00352	0.00568	0.00187
1.39555	1.77E-05	0.00159	0.00257	8.44E-04
1.39605	3.82E-05	0.00343	0.00554	0.00182
1.39655	4.72E-05	0.00424	0.00684	0.00225
1.39704	-9.24E-06	-8.30E-04	-0.00134	-4.40E-04
1.39754	-1.39E-05	-0.00125	-0.00201	-6.61E-04
1.39803	4.71E-05	0.00423	0.00683	0.00224
1.39854	2.92E-05	0.00262	0.00424	0.00139
1.39904	-2.68E-05	-0.0024	-0.00388	-0.00128
1.39953	-2.73E-07	-2.45E-05	-3.96E-05	-1.30E-05
1.40003	2.23E-05	0.002	0.00323	0.00106
1.40053	-2.39E-05	-0.00215	-0.00347	-0.00114
1.40104	2.42E-05	0.00218	0.00351	0.00115
1.40153	7.60E-05	0.00682	0.01101	0.00362
1.40203	5.15E-05	0.00462	0.00746	0.00245
1.40253	5.54E-05	0.00498	0.00803	0.00264
1.40303	6.97E-05	0.00626	0.0101	0.00332
1.40352	2.29E-05	0.00205	0.00331	0.00109
1.40403	2.31E-05	0.00207	0.00335	0.0011
1.40454	3.72E-05	0.00334	0.00539	0.00177
1.40502	5.39E-05	0.00484	0.00781	0.00257
1.40552	3.71E-05	0.00333	0.00538	0.00177
1.40602	7.87E-05	0.00707	0.0114	0.00375
1.40652	8.73E-05	0.00784	0.01265	0.00416
1.40702	1.91E-05	0.00171	0.00276	9.08E-04
1.40753	3.45E-05	0.00309	0.00499	0.00164
1.40802	5.37E-05	0.00482	0.00779	0.00256
1.40852	3.22E-05	0.00289	0.00467	0.00153
1.40902	1.82E-05	0.00163	0.00263	8.65E-04
1.40953	2.96E-05	0.00265	0.00428	0.00141
1.41002	-1.69E-05	-0.00152	-0.00245	-8.05E-04
1.41052	-5.18E-06	-4.65E-04	-7.50E-04	-2.46E-04
1.41103	2.89E-05	0.00259	0.00419	0.00138
1.41152	7.56E-06	6.79E-04	0.0011	3.60E-04
1.41202	1.33E-05	0.00119	0.00193	6.33E-04
1.41252	2.99E-05	0.00268	0.00433	0.00142
1.41301	-8.24E-06	-7.40E-04	-0.00119	-3.93E-04
1.41351	-3.18E-05	-0.00286	-0.00461	-0.00152
1.41401	1.07E-05	9.63E-04	0.00155	5.11E-04
1.41451	-2.27E-05	-0.00204	-0.0033	-0.00108
1.415	-3.28E-05	-0.00295	-0.00475	-0.00156
1.4155	1.03E-05	9.21E-04	0.00149	4.89E-04
1.416	2.83E-05	0.00254	0.0041	0.00135
1.4165	-9.28E-06	-8.33E-04	-0.00134	-4.42E-04
1.41705	9.83E-06	8.82E-04	0.00142	4.68E-04
1.41755	6.20E-05	0.00556	0.00898	0.00295
1.41805	5.40E-06	4.84E-04	7.82E-04	2.57E-04
1.41856	2.21E-05	0.00199	0.00321	0.00105
1.41906	2.84E-05	0.00255	0.00411	0.00135
1.41956	-1.18E-05	-0.00106	-0.00171	-5.61E-04
1.42005	-1.42E-05	-0.00127	-0.00205	-6.75E-04
1.42056	2.16E-05	0.00194	0.00313	0.00103
1.42105	-7.58E-06	-6.80E-04	-0.0011	-3.61E-04
