E	j	j C	j C	j  Ageo
V RHE	mA cm-2	mA mF-1	mA mF-1	mA cm-2
ML_072		I norm by capacitance @ 1.2 VRHE	I norm by capacitance @ 0.5 VRHE	I norm by Ageo
1.32469	8.43006E-4	0.00871	0.01659	0.04959
1.32519	8.66881E-4	0.00896	0.01706	0.05099
1.32569	8.4634E-4	0.00874	0.01665	0.04978
1.32619	8.52343E-4	0.00881	0.01677	0.05014
1.32669	8.83954E-4	0.00913	0.01739	0.052
1.32719	8.7365E-4	0.00903	0.01719	0.05139
1.32769	8.7285E-4	0.00902	0.01717	0.05134
1.32819	8.62113E-4	0.00891	0.01696	0.05071
1.3287	8.60579E-4	0.00889	0.01693	0.05062
1.32919	8.71483E-4	0.009	0.01715	0.05126
1.32969	8.47507E-4	0.00876	0.01668	0.04985
1.3302	8.12294E-4	0.00839	0.01598	0.04778
1.3307	8.12061E-4	0.00839	0.01598	0.04777
1.3312	8.38571E-4	0.00866	0.0165	0.04933
1.33169	8.29701E-4	0.00857	0.01633	0.04881
1.33219	8.40438E-4	0.00868	0.01654	0.04944
1.3327	8.45607E-4	0.00874	0.01664	0.04974
1.3332	8.02557E-4	0.00829	0.01579	0.04721
1.33369	7.83417E-4	0.00809	0.01542	0.04608
1.33419	8.04191E-4	0.00831	0.01582	0.04731
1.33469	8.24532E-4	0.00852	0.01622	0.0485
1.33519	8.03391E-4	0.0083	0.01581	0.04726
1.33568	8.28267E-4	0.00856	0.0163	0.04872
1.33618	8.41505E-4	0.00869	0.01656	0.0495
1.33668	8.52042E-4	0.0088	0.01677	0.05012
1.33718	8.57378E-4	0.00886	0.01687	0.05043
1.33768	8.22932E-4	0.0085	0.01619	0.04841
1.33818	7.9242E-4	0.00819	0.01559	0.04661
1.33868	7.99856E-4	0.00826	0.01574	0.04705
1.33919	7.88219E-4	0.00814	0.01551	0.04637
1.3397	7.95755E-4	0.00822	0.01566	0.04681
1.3402	7.70312E-4	0.00796	0.01516	0.04531
1.3407	8.13795E-4	0.00841	0.01601	0.04787
1.34121	8.12028E-4	0.00839	0.01598	0.04777
1.34172	8.12795E-4	0.0084	0.01599	0.04781
1.34222	8.17763E-4	0.00845	0.01609	0.0481
1.34272	7.61042E-4	0.00786	0.01497	0.04477
1.34322	7.7368E-4	0.00799	0.01522	0.04551
1.34372	8.03558E-4	0.0083	0.01581	0.04727
1.34422	7.66377E-4	0.00792	0.01508	0.04508
1.34471	7.75281E-4	0.00801	0.01525	0.0456
1.34521	8.1913E-4	0.00846	0.01612	0.04818
