X	Z
µm	µm
1244.502	0.424
1245.89	0.423
1247.277	0.413
1248.664	0.454
1250.052	0.575
1251.439	0.454
1252.827	0.201
1254.214	0.258
1255.601	0.545
1256.989	0.389
1258.376	0.549
1259.764	0.516
1261.151	0.626
1262.538	0.685
1263.926	0.603
1265.313	0.507
1266.701	0.56
1268.088	0.534
1269.475	0.53
1270.863	0.434
1272.25	0.604
1273.638	0.679
1275.025	0.869
1276.413	0.91
1277.8	0.929
1279.187	0.842
1280.575	0.666
1281.962	0.405
1283.35	0.393
1284.737	0.403
1286.124	0.365
1287.512	0.386
1288.899	0.321
1290.287	0.307
1291.674	0.454
1293.061	0.441
1294.449	0.375
1295.836	0.482
1297.224	0.608
1298.611	0.608
1299.998	0.556
1301.386	0.518
1302.773	0.603
1304.161	0.562
1305.548	0.473
1306.935	0.388
1308.323	0.215
1309.71	0.247
1311.098	0.384
1312.485	0.449
1313.872	0.25
1315.26	0.153
1316.647	0.183
1318.035	0.278
1319.422	0.355
1320.809	0.401
1322.197	0.448
1323.584	0.462
1324.972	0.3
1326.359	0.364
1327.747	0.468
1329.134	0.537
1330.521	0.698
1331.909	0.859
1333.296	0.668
1334.684	0.527
1336.071	0.375
1337.458	0.333
1338.846	0.227
1340.233	0.127
1341.621	0.412
1343.008	0.273
1344.395	0.385
1345.783	0.543
1347.17	0.167
1348.558	0.191
1349.945	0.2
1351.332	0.396
1352.72	0.276
1354.107	0.54
1355.495	0.32
1356.882	0.379
1358.269	0.43
1359.657	0.66
1361.044	0.513
1362.432	0.046
1363.819	0.247
1365.206	0.18
1366.594	0.259
1367.981	0.149
1369.369	0.022
1370.756	-0.019
1372.143	0.075
1373.531	0.252
1374.918	0.129
1376.306	-0.078
1377.693	0.075
1379.08	0.03
1380.468	-0.035
1381.855	-0.003
1383.243	-0.064
1384.63	0.061
1386.018	0.012
1387.405	0.039
1388.792	-0.03
1390.18	-0.045
1391.567	0.005
1392.955	-0.037
1394.342	0.064
1395.729	0.001
1397.117	-0.1
1398.504	-0.046
1399.892	0.076
1401.279	0.078
1402.666	-0.096
1404.054	-0.099
1405.441	0.076
1406.829	-0.084
1408.216	-0.018
1409.603	-0.129
1410.991	-0.084
1412.378	0.031
1413.766	0.176
1415.153	-0.069
1416.54	0.074
1417.928	0.004
1419.315	-0.124
1420.703	-0.166
1422.09	-0.102
1423.477	-0.022
1424.865	-0.02
1426.252	-0.052
1427.64	0.142
1429.027	0.105
1430.414	-0.035
1431.802	-0.058
1433.189	-0.008
1434.577	0.038
1435.964	0.04
1437.351	-0.008
1438.739	-0.084
1440.126	-0.003
1441.514	0.035
1442.901	-0.067
1444.289	-0.045
1445.676	-0.051
1447.063	-0.013
1448.451	0.058
1449.838	-0.032
1451.226	-0.078
1452.613	0.001
1454	-0.03
1455.388	0.004
1456.775	-0.062
1458.163	-0.075
1459.55	-0.015
1460.937	-0.031
1462.325	-0.064
1463.712	-0.025
1465.1	-0.015
1466.487	-0.04
1467.874	-0.027
1469.262	0.012
1470.649	-0.016
1472.037	-0.041
1473.424	-0.056
1474.811	-0.016
1476.199	-0.048
1477.586	-0.032
1478.974	-0.036
1480.361	-0.008
1481.748	-0.035
1483.136	-0.052
1484.523	-0.028
1485.911	-0.039
1487.298	-0.044
1488.685	-0.068
1490.073	-0.072
1491.46	-0.078
1492.848	-0.016
1494.235	-0.013
1495.622	-0.044
1497.01	-0.058
1498.397	-0.04
1499.785	-0.022
1501.172	-0.029
1502.56	-0.023
1503.947	-0.062
1505.334	-0.072
1506.722	-0.05
1508.109	-0.077
1509.497	-0.107
1510.884	-0.097
1512.271	-0.077
1513.659	-0.098
1515.046	-0.111
1516.434	-0.103
1517.821	-0.092
1519.208	-0.098
1520.596	-0.075
1521.983	-0.005
1523.371	-0.104
1524.758	-0.076
1526.145	-0.063
1527.533	-0.052
1528.92	-0.079
1530.308	-0.111
1531.695	-0.115
1533.082	-0.071
1534.47	-0.108
1535.857	-0.15
1537.245	-0.129
1538.632	-0.158
1540.019	-0.168
1541.407	-0.129
1542.794	-0.123
1544.182	-0.156
1545.569	-0.136
1546.956	-0.13
1548.344	-0.119
1549.731	-0.091
1551.119	-0.094
1552.506	-0.127
1553.894	-0.116
1555.281	-0.107
1556.668	-0.107
1558.056	-0.108
1559.443	-0.105
1560.831	-0.088
1562.218	-0.108
1563.605	-0.11
1564.993	-0.098
1566.38	-0.126
1567.768	-0.114
1569.155	-0.084
1570.542	-0.1
1571.93	-0.091
1573.317	-0.102
1574.705	-0.11
1576.092	-0.096
1577.479	-0.102
1578.867	-0.106
1580.254	-0.103
1581.642	-0.077
1583.029	-0.094
1584.416	-0.093
1585.804	-0.101
1587.191	-0.099
1588.579	-0.089
1589.966	-0.107
1591.353	-0.114
1592.741	-0.094
1594.128	-0.098
1595.516	-0.103
1596.903	-0.091
