X	Z
µm	µm
1747.194	-0.217
1748.582	-0.208
1749.97	-0.209
1751.358	-0.196
1752.746	-0.213
1754.133	-0.221
1755.521	-0.208
1756.909	-0.188
1758.297	-0.192
1759.684	-0.203
1761.072	-0.172
1762.46	-0.184
1763.848	-0.204
1765.235	-0.211
1766.623	-0.207
1768.011	-0.223
1769.399	-0.201
1770.786	-0.224
1772.174	-0.205
1773.562	-0.188
1774.95	-0.197
1776.338	-0.229
1777.725	-0.179
1779.113	-0.196
1780.501	-0.18
1781.889	-0.187
1783.276	-0.191
1784.664	-0.208
1786.052	-0.195
1787.44	-0.204
1788.827	-0.187
1790.215	-0.183
1791.603	-0.19
1792.991	-0.177
1794.378	-0.213
1795.766	-0.191
1797.154	-0.189
1798.542	-0.221
1799.929	-0.209
1801.317	-0.208
1802.705	-0.199
1804.093	-0.215
1805.481	-0.203
1806.868	-0.193
1808.256	-0.209
1809.644	-0.211
1811.032	-0.204
1812.419	-0.198
1813.807	-0.196
1815.195	-0.2
1816.583	-0.206
1817.97	-0.193
1819.358	-0.203
1820.746	-0.173
1822.134	-0.207
1823.521	-0.186
1824.909	-0.159
1826.297	-0.181
1827.685	-0.174
1829.073	-0.197
1830.46	-0.18
1831.848	-0.194
1833.236	-0.183
1834.624	-0.183
1836.011	-0.203
1837.399	-0.184
1838.787	-0.19
1840.175	-0.178
1841.562	-0.221
1842.95	-0.185
1844.338	-0.19
1845.726	-0.213
1847.113	-0.184
1848.501	-0.181
1849.889	-0.163
1851.277	-0.201
1852.665	-0.168
1854.052	-0.16
1855.44	-0.173
1856.828	-0.177
1858.216	-0.148
1859.603	-0.179
1860.991	-0.188
1862.379	-0.167
1863.767	-0.166
1865.154	-0.21
1866.542	-0.202
1867.93	-0.186
1869.318	-0.179
1870.705	-0.174
1872.093	-0.179
1873.481	-0.168
1874.869	-0.16
1876.256	-0.177
1877.644	-0.202
1879.032	-0.173
1880.42	-0.179
1881.808	-0.176
1883.195	-0.175
1884.583	-0.177
1885.971	-0.154
1887.359	-0.169
1888.746	-0.157
1890.134	-0.164
1891.522	-0.135
1892.91	-0.155
1894.297	-0.147
1895.685	-0.153
1897.073	-0.156
1898.461	-0.16
1899.848	-0.159
1901.236	-0.133
1902.624	-0.132
1904.012	-0.141
1905.4	-0.174
1906.787	-0.143
1908.175	-0.143
1909.563	-0.166
1910.951	-0.159
1912.338	-0.149
1913.726	-0.168
1915.114	-0.168
1916.502	-0.152
1917.889	-0.154
1919.277	-0.155
1920.665	-0.174
1922.053	-0.175
1923.44	-0.17
1924.828	-0.143
1926.216	-0.157
1927.604	-0.141
1928.992	-0.176
1930.379	-0.149
1931.767	-0.151
1933.155	-0.173
1934.543	-0.17
1935.93	-0.171
1937.318	-0.151
1938.706	-0.152
1940.094	-0.14
1941.481	-0.158
1942.869	-0.174
1944.257	-0.154
1945.645	-0.146
1947.032	-0.16
1948.42	-0.157
1949.808	-0.152
1951.196	-0.161
1952.583	-0.163
1953.971	-0.138
1955.359	-0.134
1956.747	-0.128
1958.135	-0.145
1959.522	-0.139
1960.91	-0.158
1962.298	-0.15
1963.686	-0.135
1965.073	-0.152
1966.461	-0.147
1967.849	-0.137
1969.237	-0.147
1970.624	-0.165
1972.012	-0.152
1973.4	-0.171
1974.788	-0.164
1976.175	-0.157
1977.563	-0.144
1978.951	-0.158
1980.339	-0.15
1981.727	-0.17
1983.114	-0.148
1984.502	-0.152
1985.89	-0.135
1987.278	-0.148
1988.665	-0.142
1990.053	-0.153
1991.441	-0.166
1992.829	-0.148
1994.216	-0.137
1995.604	-0.157
1996.992	-0.16
1998.38	-0.14
1999.767	-0.161
2001.155	-0.169
2002.543	-0.155
2003.931	-0.157
2005.319	-0.155
2006.706	-0.147
2008.094	-0.162
2009.482	-0.145
2010.87	-0.132
2012.257	-0.14
2013.645	-0.152
2015.033	-0.137
