X	Z
µm	µm
1225.912	-0.02
1227.3	-0.038
1228.689	-0.03
1230.077	-0.052
1231.465	-0.043
1232.854	-0.035
1234.242	-0.036
1235.631	-0.042
1237.019	-0.023
1238.407	-0.027
1239.796	-0.045
1241.184	-0.025
1242.572	-0.039
1243.961	-0.035
1245.349	-0.034
1246.737	-0.044
1248.126	-0.034
1249.514	-0.043
1250.902	-0.031
1252.291	-0.011
1253.679	-0.038
1255.067	-0.038
1256.456	-0.027
1257.844	-0.018
1259.232	-0.02
1260.621	-0.02
1262.009	-0.026
1263.398	-0.034
1264.786	-0.021
1266.174	-0.032
1267.563	-0.034
1268.951	-0.032
1270.339	-0.029
1271.728	-0.039
1273.116	-0.052
1274.504	-0.058
1275.893	-0.051
1277.281	-0.039
1278.669	-0.036
1280.058	-0.051
1281.446	-0.037
1282.834	-0.04
1284.223	-0.042
1285.611	-0.046
1286.999	-0.047
1288.388	-0.054
1289.776	-0.045
1291.164	-0.036
1292.553	-0.052
1293.941	-0.045
1295.33	-0.056
1296.718	-0.066
1298.106	-0.055
1299.495	-0.043
1300.883	-0.048
1302.271	-0.033
1303.66	-0.031
1305.048	-0.042
1306.436	-0.035
1307.825	-0.029
1309.213	-0.041
1310.601	-0.026
1311.99	-0.035
1313.378	-0.043
1314.766	-0.032
1316.155	-0.041
1317.543	-0.014
1318.931	-0.012
1320.32	-0.016
1321.708	-0.013
1323.097	-0.016
1324.485	0.008
1325.873	-0.016
1327.262	-0.02
1328.65	-0.002
1330.038	-0.006
1331.427	-0.017
1332.815	-0.036
1334.203	-0.017
1335.592	-0.025
1336.98	-0.028
1338.368	-0.027
1339.757	-0.028
1341.145	-0.013
1342.533	-0.023
1343.922	-0.035
1345.31	-0.038
1346.698	-0.039
1348.087	-0.037
1349.475	-0.038
1350.863	-0.043
1352.252	-0.036
1353.64	-0.022
1355.029	-0.029
1356.417	-0.035
1357.805	-0.028
1359.194	-0.027
1360.582	-0.022
1361.97	-0.027
1363.359	-0.033
1364.747	-0.015
1366.135	-0.004
1367.524	-0.026
1368.912	-0.015
1370.3	-0.021
1371.689	-0.003
1373.077	0
1374.465	-0.01
1375.854	-0.011
1377.242	0.001
1378.63	-0.01
1380.019	-0.011
1381.407	-0.013
1382.796	-0.018
1384.184	-0.012
1385.572	-0.011
1386.961	-0.021
1388.349	-0.02
1389.737	-0.008
1391.126	-0.023
1392.514	-0.028
1393.902	-0.027
1395.291	-0.031
1396.679	-0.02
1398.067	-0.016
1399.456	-0.013
1400.844	-0.009
1402.232	0
1403.621	-0.01
1405.009	-0.008
1406.397	-0.01
1407.786	0.007
1409.174	0.011
1410.562	0.005
1411.951	0.007
1413.339	0.026
1414.728	0.003
1416.116	-0.013
1417.504	0.007
1418.893	-0.014
1420.281	-0.024
1421.669	-0.016
1423.058	0.012
1424.446	0.002
1425.834	0.021
1427.223	-0.013
1428.611	0.005
1429.999	-0.013
1431.388	-0.005
1432.776	0.006
1434.164	0.005
1435.553	0.001
1436.941	-0.009
1438.329	0.006
1439.718	0.003
1441.106	-0.005
1442.495	0
1443.883	0.016
1445.271	0.007
1446.66	0.004
1448.048	0
1449.436	0.011
1450.825	0.019
1452.213	0.012
1453.601	0.004
1454.99	-0.018
1456.378	0.004
1457.766	0.02
1459.155	-0.01
1460.543	0.011
1461.931	0.021
1463.32	-0.001
1464.708	0.003
1466.096	0.006
1467.485	0.008
1468.873	0.014
1470.262	0.024
1471.65	0.003
1473.038	0.001
1474.427	0.01
1475.815	-0.001
1477.203	0
1478.592	0.001
1479.98	0.012
1481.368	0.009
1482.757	-0.003
1484.145	0.006
1485.533	0.002
1486.922	0.01
1488.31	0.021
1489.698	0.01
1491.087	0.002
1492.475	0.005
1493.863	0.001
1495.252	0.02
1496.64	0.017
1498.028	0.013
1499.417	0.018
1500.805	0.021
1502.194	0.009
1503.582	-0.001
1504.97	0.016
1506.359	0.008
1507.747	0.014
1509.135	0.014
1510.524	0.008
1511.912	0.004
1513.3	0.017
1514.689	0.008
1516.077	0.003
1517.465	0.013
