Spot,TiCoO3,Co3O4 (+Ti2O),IrO2
282,0.0,0.8713729269837832,0.0
283,0.0,0.9176895377480435,0.0
284,0.0,0.9584822684790184,0.0
285,0.0,0.8942768877031262,0.0
286,0.07578516146501443,0.8529352149044995,0.0
287,0.17703364163747237,0.7404596486951341,0.0
288,0.2039083221208481,0.6499059515372034,0.0
289,0.34731548535686024,0.5505274990181341,0.0
290,0.3778178883309654,0.4445641493278921,0.0
291,0.6514336299283969,0.2273789370567496,0.0
292,0.9270090734880396,0.0,0.0
293,0.9011043121806794,0.0,0.0
294,0.9693606426609711,0.0,0.0
295,0.919546628779444,0.0,0.0
296,0.8866634675799746,0.0,0.010702253121353048
297,0.0,0.786861354508533,0.0
298,0.0,0.8489724641148687,0.0
299,0.0,0.8866660346609969,0.0
300,0.0,0.8886175026446429,0.0
301,0.0,0.8498186745637281,0.0
302,0.14929411002140044,0.8066821809010898,0.0
303,0.19505803833258586,0.7090094665420714,0.0
304,0.20789489641127293,0.6278783720135853,0.0
305,0.3030392369028241,0.5558188160126162,0.0
306,0.3848326177206403,0.426147805059356,0.0
307,0.6102717864599178,0.23121874769581272,0.0
308,0.88971227037928,0.0,0.0
309,0.9519086315749857,0.0,0.0
310,0.9489677718152099,0.0,0.0
311,0.9203113777713658,0.0,0.0
312,0.0,0.7948925665599783,0.0
313,0.0,0.8033507586325205,0.0
314,0.0,0.802399966293031,0.0
315,0.0,0.7899022046464456,0.0
316,0.1677322448074955,0.7324808780665443,0.0
317,0.2090501221612026,0.6791262822567419,0.0
318,0.2215545261326701,0.5589130856773974,0.0
319,0.3097212508219876,0.4872468779672291,0.0
320,0.3891600097436235,0.3957989680250275,0.0
321,0.576800819217102,0.24385660393258007,0.0
322,0.809201921961103,0.0,0.0
323,0.966874293665704,0.0,0.0
324,1.0,0.0,0.0
325,0.0,0.7268336816888397,0.0
326,0.0,0.7542348141828092,0.0
327,0.0,0.7175869120654398,0.0
328,0.1332809038569904,0.6474150968097258,0.0
329,0.18194047607846334,0.5715258874036756,0.0
330,0.24218262394108664,0.5052692720348025,0.0
331,0.3496620049909935,0.4293467318535373,0.0
332,0.39967151861481637,0.3243512537036285,0.0
333,0.5349160448833954,0.23745739604635316,0.0
334,0.7358552800089491,0.0,0.0
335,0.945953991697011,0.0,0.0
336,0.0,0.6708558109159418,0.0
337,0.13229713242650726,0.6236299396133631,0.0
338,0.18748608240470954,0.5488635936143351,0.0
339,0.30549788138915634,0.4879446423224102,0.0
340,0.3733545873962257,0.39597171624149247,0.0
341,0.39409245778721474,0.3159245866758158,0.0
342,0.5562438122240658,0.21297740880684854,0.0
