Spot,Ti,Co,Ir,O
114,17.618165,7.842761,7.904836,66.634238
115,18.411072,7.564529,7.441616,66.582784
116,7.008724,13.106302,13.759863,66.125112
117,7.292067,12.832627,13.537668,66.337638
118,7.783632,12.464085,13.37406,66.378223
119,8.242544,12.295231,13.140553,66.321672
120,8.67576,11.973988,12.932671,66.417581
121,9.281756,11.774726,12.682112,66.261406
122,9.982625,11.460577,12.360664,66.196134
123,10.547725,11.142067,12.04262,66.267587
124,11.222196,11.10297,11.621842,66.052992
125,11.755793,10.742685,11.306543,66.194979
126,12.41879,10.533418,10.929747,66.118044
127,12.7334,10.286553,10.687267,66.29278
128,13.348758,9.977807,10.347549,66.325886
129,14.031104,9.928398,9.980026,66.060472
130,14.632497,9.612953,9.609391,66.145159
131,15.208776,9.284111,9.20551,66.301602
132,15.951776,9.03357,8.732823,66.281831
133,16.362102,8.769132,8.44034,66.428427
134,16.972185,8.506981,8.056597,66.464238
135,17.905417,8.093406,7.48828,66.512897
136,18.065541,7.942764,7.365392,66.626302
137,6.946695,13.436858,13.388351,66.228096
138,7.332736,13.223119,13.200294,66.243851
139,7.77986,12.909873,12.983471,66.326796
140,8.026442,12.690921,12.786008,66.496629
141,8.655324,12.473773,12.645469,66.225434
142,9.507394,12.147707,12.303314,66.041585
143,9.940824,12.002769,12.020269,66.036139
144,10.476238,11.741328,11.676807,66.105628
145,11.247455,11.537688,11.254557,65.9603
146,11.756025,11.126828,10.94981,66.167338
147,12.244173,11.002776,10.627406,66.125644
148,12.977926,10.719828,10.269738,66.032508
149,13.49084,10.535605,9.978082,65.995474
150,14.046248,10.320108,9.676147,65.957497
151,14.831555,9.95516,9.24619,65.967095
152,15.262085,9.71587,8.954173,66.067873
153,15.990041,9.37522,8.472285,66.162453
154,16.536041,9.136052,8.123086,66.204821
155,17.301512,8.737369,7.619596,66.341524
156,17.495785,8.537759,7.463448,66.503008
157,17.992685,8.204485,7.131453,66.671377
158,6.770549,13.933604,13.086404,66.209443
159,7.121283,13.63237,12.88623,66.360117
160,7.778315,13.321763,12.758321,66.141601
161,8.314063,13.054448,12.569117,66.062372
162,8.62594,12.750825,12.285616,66.337619
163,9.421254,12.589554,11.996855,65.992337
164,9.724086,12.328198,11.723236,66.22448
165,10.788431,12.076829,11.227586,65.907154
166,11.232953,11.853384,10.91306,66.000602
167,11.684396,11.658306,10.606428,66.05087
168,12.379513,11.377562,10.252792,65.990134
