Co%,Ir%,Ti%,Overpotential,Dissolution_Ir193 (S001),Dissolution_Co59 (S001),Dissolution_Ti47 (S001),Overpotential_std,Dissolution_Ir193 (S001)_std,Dissolution_Co59 (S001)_std,Dissolution_Ti47 (S001)_std
30.15,57.23,12.62,329.08472939518924,4.979766510401904,116.84925099084997,18.42465660119678,12.424017456094154,0.9342654769174553,56.033658218455216,4.289472706232932
32.04,52.46,15.49,318.6010812263599,6.427622743988801,162.76816068129625,23.70300620093478,10.559085344551615,0.7917237454458289,48.010224678499405,3.666849472874166
33.58,49.06,17.36,317.0121057268,6.9524916024921914,176.32926613474763,25.55906386474549,10.95922613768104,0.8204842749473662,49.9704710294211,3.8018171175885134
32.18,49.04,18.77,314.8499729196712,7.259455164083528,185.79817864682414,26.7532554480264,10.942946560216644,0.8193060438398427,49.887480492749276,3.795186635494454
32.13,47.39,20.48,315.06042272656856,7.572555021986146,190.45959165609594,27.81516700687582,11.616521961216222,0.8699476201326309,52.883846225163296,4.021138428104429
33.2,46.25,20.55,315.6974958500512,7.634477497790733,195.1909658951921,28.06469900916632,11.634465138717779,0.8713119900464462,52.95917958193625,4.026463275857842
31.8,44.77,23.43,317.93593471948594,7.8701678833735285,183.79004102569394,28.572285352238517,9.164537918835059,0.6862893015295949,41.869143141360446,3.1969657310595245
31.67,43.33,25.0,320.72034147939905,7.9075718328949325,171.9740598068979,28.334978556833242,1.05645501910655,0.09222495239488844,5.348351384791064,0.714315891554557
32.17,40.43,27.39,330.08284840531275,7.651269405827785,160.9183504005095,27.55005967594393,4.321938100020039,0.3256395541470536,19.914371902605737,1.5925300661817248
31.39,39.46,29.15,338.9697582005716,6.725670263760014,135.77394460227643,26.238989423176008,9.302750296780983,0.6962800079741156,42.50553872165999,3.236294067777505
31.13,38.21,30.66,348.1716639805092,5.819325966332715,115.21570639469883,24.816115424233576,11.068710188888582,0.8286299479915246,50.4403681362167,3.8329173961178853
30.95,36.67,32.38,359.60328138943976,4.7551755467379495,91.25097549992702,23.02606749526125,11.691099871615187,0.875365625619699,53.22048507143795,4.043036294780922
28.5,35.0,36.5,374.3633874885766,2.977519536171462,39.873836212332364,18.525495140143217,10.639391834050222,0.7962955206022138,48.5371585082111,3.6873083864704825
26.21,36.89,36.89,371.19590335998856,3.0908844552395043,32.438007613712784,17.973134076827197,8.895383463210507,0.6657719657649563,40.676311816241196,3.0992052505951877
27.5,34.0,38.5,377.6600763368657,2.526982780977509,26.946158810705484,16.954379546557682,10.510961173491498,0.7867820367688488,47.960176537869316,3.645691780867102
25.51,34.18,40.31,377.808562533636,2.455720595996856,20.321462263887213,16.26473814168743,10.756724477396855,0.8055097147424554,49.02448171955847,3.727809917626395
24.06,33.16,42.78,379.65168506518694,2.0754973723382224,12.803050100351598,15.77280646617065,11.314820237270728,0.8476993243559571,51.48533132647464,3.913680925312783
24.46,29.89,45.65,382.4035297247288,2.014124165272958,12.516775739285748,15.541449601126384,10.624256438346345,0.7960242330288906,48.36937611475546,3.67763040186319
23.37,29.35,47.28,383.0350582361804,2.0158661032746887,12.39423087694584,15.510486036489699,8.61454760832575,0.6450798395909735,39.35899995483529,2.9985621989803057
22.22,28.89,48.89,384.63188307534915,2.022165430162596,13.324269174949336,15.522496531409118,1.0578406966378826,0.09239522666822472,5.356324112924683,0.7178195185614467
31.05,57.83,11.11,333.02229850142743,4.6460391641725804,102.46214699983942,17.220567344972846,13.925968472636146,1.052407404018966,62.11863400446302,4.787104522158768
33.87,52.26,13.87,323.1685909249054,6.091594837137603,144.71670946205944,22.14715618598283,12.910925403138158,0.9711810980393457,58.15544181894695,4.454767275401984
35.71,48.87,15.41,321.621319655705,6.523550124671803,157.16496319140856,23.69289233604935,10.510345441722075,0.7880747641453519,47.806853055136386,3.6522717147450248
35.11,46.95,17.94,317.7883393745842,7.13713086909569,184.2958990047556,26.317542381391235,10.398946369917665,0.7785145888221143,47.439649142315425,3.6099878154930978
35.86,45.82,18.33,317.8338370912437,7.333523525348061,194.87132170517904,27.208687824674946,10.074573231713895,0.754265583356385,45.96211850949711,3.497584113905712
34.94,44.58,20.48,316.6763158350947,7.751593589235656,210.09039606247046,28.82940765851337,11.48064950425689,0.8597561913441152,52.263497927625465,3.9721492764748265
35.56,43.1,21.34,317.6192440035215,7.907864592525543,224.24330996598067,29.753858053518965,11.402345474037757,0.8538208800676749,51.91844823601875,3.945005553237088
33.33,43.75,22.92,317.87667854975837,7.904299133447352,198.42332463938214,28.87902696484123,10.155444859208055,0.7603526904418739,46.333610838632104,3.5275327403454257
33.19,42.02,24.79,321.499410860168,7.911488494583851,189.75802125618162,28.62110142840806,8.288501299051756,0.620294343676286,37.932048041203274,2.891537560630357
32.47,40.26,27.27,329.6721006359633,7.730944928340206,164.61751465887738,27.62096698319315,1.0558491790575437,0.09215217412765289,5.344728554390577,0.7127908218773779
34.25,36.99,28.77,340.4348196342732,6.602084330015775,157.20314207629815,26.54829012283448,9.308109372075396,0.6965481682677673,42.552151768792726,3.237974351436981
31.46,36.15,32.39,361.2686838020246,4.67709130026557,92.66514468681027,23.0549654694612,11.567762414943937,0.8660838422873588,52.67140519033395,4.001131389067031
30.39,35.78,33.82,367.44071934872295,3.973872275446476,70.75185895477114,21.4427221922732,11.506466988326702,0.861462018372221,52.395875972499475,3.979579034360915
31.1,34.45,34.45,374.2765140931875,3.506995266840594,64.0329889305641,20.889086120345194,10.742506669157644,0.8040457117510957,48.975514149606376,3.7189404444824516
