	[Co Spot (1,1)] Co2p		[IrCo 20:80 Spot (2,1)] Co2p		[IrCo 40:60 Spot (3,1)] Co2p		[IrCo 60:40 Spot (4,1)] Co2p		[IrCo 80:20 Spot (5,1)] Co2p		[Ir Spot (9,6)] Co2p
782.63	2199.51488773	782.71	5686.978604797	782.68	10662.274422064	782.63	12960.424939001	782.76	16538.009914941	782.64	21613.248660815
782.73	2177.83108784	782.81	5699.209702177	782.78	10642.465651884	782.73	12949.217843031	782.86	16535.277951091	782.74	21604.240383755
782.83	2130.34415522	782.91	5667.259577337	782.88	10602.254109114	782.83	12954.383253261	782.96	16536.196337125	782.84	21547.950977215
782.93	2095.83184289	783.01	5656.708183087	782.98	10589.928166194	782.93	12945.004576161	783.06	16531.664119541	782.94	21569.477612955
783.03	2083.22333229	783.11	5625.382546907	783.08	10597.130688664	783.03	12936.375635181	783.16	16528.417037358	783.04	21680.497698685
783.13	2065.35512856	783.21	5612.230258977	783.18	10548.266154334	783.13	12945.736144131	783.26	16529.403333641	783.14	21645.908769355
783.23	2066.74305664	783.31	5616.754175047	783.28	10541.053808534	783.23	12932.892450201	783.36	16530.840598541	783.24	21596.707111085
783.33	2056.67681367	783.41	5604.953073087	783.38	10548.910976334	783.33	12911.516163461	783.46	16528.169883325	783.34	21622.784603615
783.43	2016.20289216	783.51	5603.298539047	783.48	10513.698993444	783.43	12909.263643431	783.56	16531.462130225	783.44	21650.027932155
783.53	2011.5571856	783.61	5606.650396247	783.58	10526.216755394	783.53	12907.489465611	783.66	16529.863287391	783.54	21596.126490415
783.63	2014.79241211	783.71	5587.952328757	783.68	10534.788993444	783.63	12909.895019901	783.76	16531.285430325	783.64	21584.474321085
783.73	2007.00254824	783.81	5597.820016217	783.78	10505.700137314	783.73	12901.073399551	783.86	16526.030099941	783.74	21581.428120285
783.83	2002.47192996	783.91	5578.793681957	783.88	10504.312617994	783.83	12903.446670931	783.96	16520.361999108	783.84	21579.302729215
783.93	1981.99294778	784.01	5580.088513307	783.98	10531.666526224	783.93	12910.998907831	784.06	16512.429514675	783.94	21608.048659485
784.03	1981.09137731	784.11	5577.013976017	784.08	10493.231537554	784.03	12891.102823661	784.16	16517.415065091	784.04	21630.432721615
784.13	1959.97659269	784.21	5582.702045937	784.18	10474.903215444	784.13	12886.655501651	784.26	16517.247018008	784.14	21567.924421485
784.23	1973.24094544	784.31	5570.436186087	784.28	10499.978036884	784.23	12883.574384011	784.36	16517.278719891	784.24	21560.807908155
