	[Ir. spot (1,3)] Co2p		[CoIr (20:80). spot (3,3)] Co2p		[Ir-Co 40:60 Spot (8,9) JP08] Co2p		[Ir-Co 60:40 Spot (6,2) JP08] Co2p		[CoIr (8020). spot (5,3)] Co2p		[Co Spot (5,2)] Co2p
789.525	2628.92108337	789.44	3836.22492511	789.45	4317.68459946	789.52	5783.07020616	789.515	8235.99600902	789.47	8816.57583657
789.625	2607.07303503	789.54	3775.82860152	789.55	4337.13870369	789.62	5778.77119357	789.615	8239.09620689	789.57	8824.96632783
789.725	2608.11135993	789.64	3781.78940641	789.65	4319.03902056	789.72	5763.52552446	789.715	8281.58598355	789.67	8823.60519303
789.825	2615.02545037	789.74	3792.38063492	789.75	4332.21838093	789.82	5776.77534952	789.815	8291.72389752	789.77	8814.08230644
789.925	2608.3601997	789.84	3792.11670529	789.85	4309.32935571	789.92	5786.51633507	789.915	8277.58022585	789.87	8811.64921799
790.025	2584.99269723	789.94	3808.16311711	789.95	4321.87739878	790.02	5764.91028462	790.015	8257.25550415	789.97	8819.71875516
790.125	2614.9317269	790.04	3783.04959111	790.05	4330.88870729	790.12	5781.93857656	790.115	8268.28895939	790.07	8814.27870673
790.225	2615.9132046	790.14	3784.03261592	790.15	4322.95480464	790.22	5770.34204926	790.215	8299.84872979	790.17	8813.04054335
790.325	2628.13697337	790.24	3791.27862655	790.25	4326.44067806	790.32	5778.16468674	790.315	8267.05610339	790.27	8822.46966767
790.425	2621.46199	790.34	3767.50309315	790.35	4337.67301343	790.42	5787.84017492	790.415	8273.46547095	790.37	8817.44675351
790.525	2635.8708855	790.44	3816.29582655	790.45	4320.14918443	790.52	5774.59320264	790.515	8255.23915682	790.47	8804.33958247
790.625	2620.2189682	790.54	3832.20069774	790.55	4321.07020868	790.62	5774.16966804	790.615	8242.76408059	790.57	8822.0473646
790.725	2597.25798453	790.64	3782.48486385	790.65	4313.45668943	790.72	5783.57541111	790.715	8267.71291692	790.67	8818.72534777
790.825	2580.44656063	790.74	3790.11687833	790.75	4312.84613526	790.82	5768.99824217	790.815	8249.01799825	790.77	8816.91495497
790.925	2592.81968997	790.84	3797.73224078	790.85	4330.24000523	790.92	5771.13830342	790.915	8256.35942019	790.87	8817.33440113
791.025	2641.78131373	790.94	3784.64789526	790.95	4339.03096841	791.02	5769.41040467	791.015	8276.35837542	790.97	8801.43144271
791.125	2597.81519387	791.04	3816.23836085	791.05	4331.75301118	791.12	5779.52177266	791.115	8263.09842202	791.07	8803.25994596
791.225	2601.45374207	791.14	3783.78252281	791.15	4333.82842981	791.22	5769.20846444	791.215	8242.98846175	791.17	8821.32363257
791.325	2630.17508477	791.24	3794.01033467	791.25	4328.79425698	791.32	5770.66894967	791.315	8287.64454612	791.27	8816.6071734
791.425	2615.1248454	791.34	3822.85847526	791.35	4313.24842359	791.42	5784.66582362	791.415	8261.05983989	791.37	8806.470535
791.525	2609.59058557	791.44	3823.91865289	791.45	4326.51648453	791.52	5774.20554347	791.515	8285.33712135	791.47	8818.52387689
791.625	2607.79627483	791.54	3804.38728841	791.55	4317.45246056	791.62	5771.02119809	791.615	8244.83527715	791.57	8812.53546836
791.725	2647.09916743	791.64	3782.491632	791.65	4314.02320378	791.72	5768.16547554	791.715	8241.47982239	791.67	8816.40562071
791.825	2612.53174117	791.74	3766.48877118	791.75	4309.47181543	791.82	5778.33390059	791.815	8250.45641825	791.77	8810.03990521
791.925	2616.92607077	791.84	3802.98179681	791.85	4321.55458406	791.92	5775.18808759	791.915	8232.46705372	791.87	8808.39804417
792.025	2609.24764327	791.94	3804.12328933	791.95	4323.47972526	792.02	5766.88475222	792.015	8266.45796115	791.97	8787.11125956
792.125	2633.7977639	792.04	3786.47594092	792.05	4321.03826648	792.12	5750.90036949	792.115	8269.63680959	792.07	8800.16398775
792.225	2608.0388119	792.14	3781.92646815	792.15	4329.87290914	792.22	5767.52434257	792.215	8259.60676522	792.17	8809.94390484
792.325	2621.6594321	792.24	3801.63749559	792.25	4316.11862969	792.32	5774.34655467	792.315	8272.82234755	792.27	8804.77212292
792.425	2589.75427463	792.34	3802.11494655	792.35	4315.40924153	792.42	5767.56104211	792.415	8262.94673942	792.37	8788.33753257
792.525	2595.18878683	792.44	3779.28659837	792.45	4317.99918566	792.52	5772.33266249	792.515	8286.83451795	792.47	8809.05684207
792.625	2593.95901843	792.54	3796.55406778	792.55	4322.90939008	792.62	5767.45742407	792.615	8268.05497882	792.57	8808.72022255
792.725	2621.20698977	792.64	3811.35804896	792.65	4319.89124274	792.72	5772.96031146	792.715	8229.86685472	792.67	8809.66739121
792.825	2621.17832003	792.74	3785.82877981	792.75	4320.51467561	792.82	5781.79240284	792.815	8262.68681629	792.77	8811.08013543
792.925	2616.39140057	792.84	3774.55832767	792.85	4310.33228206	792.92	5762.11256306	792.915	8260.45802355	792.87	8815.28984844
793.025	2608.63585383	792.94	3790.94972481	792.95	4320.51168703	793.02	5775.63967026	793.015	8257.22268352	792.97	8802.75943847
793.125	2610.7517346	793.04	3815.36724411	793.05	4333.58820878	793.12	5788.41311432	793.115	8248.09634515	793.07	8795.92930476
793.225	2632.1749793	793.14	3800.66189504	793.15	4336.02589989	793.22	5776.58230202	793.215	8271.32268095	793.17	8809.537229
793.325	2586.65926867	793.24	3797.51176441	793.25	4333.66468536	793.32	5773.75217384	793.315	8258.41011322	793.27	8814.28513564
793.425	2605.55425067	793.34	3800.04903985	793.35	4329.59149971	793.42	5781.34873896	793.415	8240.32349099	793.37	8797.89704676
793.525	2586.2480738	793.44	3788.12014526	793.45	4325.98633331	793.52	5779.95724906	793.515	8250.77680925	793.47	8801.14063521
793.625	2603.4854928	793.54	3768.53281907	793.55	4341.94354543	793.62	5788.18057437	793.615	8282.75116539	793.57	8800.07708407
793.725	2600.85464637	793.64	3791.23771544	793.65	4342.18648248	793.72	5786.33880589	793.715	8249.07533335	793.67	8807.24938412
793.825	2582.9108466	793.74	3804.59553952	793.75	4320.41376864	793.82	5792.17932407	793.815	8248.86007119	793.77	8796.70710452
793.925	2608.42650387	793.84	3809.58036718	793.85	4330.72848958	793.92	5774.22272147	793.915	8251.99389712	793.87	8797.16013831
794.025	2615.50384187	793.94	3787.3232757	793.95	4348.00310346	794.02	5799.68311581	794.015	8252.39200759	793.97	8789.40010481
794.125	2640.4102072	794.04	3797.93689037	794.05	4325.56635816	794.12	5781.17980296	794.115	8248.31644505	794.07	8809.97528129
794.225	2584.09489643	794.14	3816.50295207	794.15	4340.45988163	794.22	5779.46952472	794.215	8265.88682772	794.17	8810.40657257
794.325	2613.08905243	794.24	3802.03838396	794.25	4334.75022243	794.32	5794.95146241	794.315	8255.75406045	794.27	8802.93498329
794.425	2587.08635153	794.34	3817.12556981	794.35	4324.48934794	794.42	5802.93114721	794.415	8303.70382692	794.37	8804.81348705
794.525	2582.64593887	794.44	3805.33417959	794.45	4338.24902003	794.52	5788.17945134	794.515	8259.00552925	794.47	8782.89093345
794.625	2614.86835913	794.54	3820.52060429	794.55	4342.79767401	794.62	5792.24003621	794.615	8263.52378815	794.57	8809.66561903
794.725	2595.3021763	794.64	3792.77768685	794.65	4330.13475264	794.72	5798.73077076	794.715	8254.63277889	794.67	8800.21312204
794.825	2571.1190009	794.74	3778.85775055	794.75	4332.46094851	794.82	5789.42063287	794.815	8263.06052792	794.77	8812.96899641
794.925	2578.24564733	794.84	3814.8835247	794.85	4332.42997918	794.92	5793.68573774	794.915	8265.63235345	794.87	8838.53522263
