	[Ir. spot (1,3)] Ir4f		[CoIr (20:80). spot (3,3)] Ir4f		[Ir-Co 40:60 Spot (8,9) JP08] Ir4f		[Ir-Co 60:40 Spot (6,2) JP08] Ir4f		[CoIr (8020). spot (5,3)] Ir4f		[Co Spot (5,2)] Ir4f
60.1249999999954	394.602418311	60.1400000000156	4536.1023430211	60.0499999999957	8502.3881876422	60.1199999999952	12889.7532262633	60.1149999999956	16814.5135141284	60.0699999999962	20853.6702837725
60.2249999999953	422.185159778	60.2400000000155	4561.4265632881	60.1499999999956	8527.0395132422	60.2199999999951	12966.3622640853	60.2149999999955	16823.0381418174	60.1699999999961	20858.5408404385
60.3249999999952	431.027026311	60.3400000000154	4602.4666354651	60.2499999999955	8564.0755489752	60.319999999995	12992.3055125303	60.3149999999954	16827.5134013284	60.269999999996	20847.4805248835
60.4249999999951	448.853691556	60.4400000000153	4655.8168031541	60.3499999999954	8599.8258123092	60.4199999999949	13027.0078672853	60.4149999999953	16837.1082158174	60.3699999999959	20849.4033473275
60.524999999995	492.824599689	60.5400000000152	4733.6121455101	60.4499999999953	8680.9315645752	60.5199999999948	13060.3712517743	60.5149999999952	16859.0197849734	60.4699999999958	20864.4068504385
60.6249999999949	563.9229388	60.6400000000151	4861.1643522211	60.5499999999952	8761.8889535092	60.6199999999947	13054.0051752853	60.6149999999951	16869.7637590174	60.5699999999957	20858.4589399945
60.7249999999948	673.268456534	60.740000000015	5030.6324205771	60.6499999999951	8846.3391042422	60.7199999999946	13028.1926770633	60.714999999995	16893.4909809284	60.6699999999956	20865.3828171055
60.8249999999947	810.710525111	60.8400000000149	5265.5339022611	60.749999999995	8949.3552046422	60.8199999999945	12990.1231138633	60.8149999999949	16923.8784645734	60.7699999999955	20870.5164322165
60.9249999999946	996.921755423	60.9400000000148	5601.7500333311	60.8499999999949	9049.5845707752	60.9199999999944	12981.3286042193	60.9149999999948	16955.2485275954	60.8699999999954	20862.9545062165
61.0249999999945	1281.5972992	61.0400000000147	5971.3191011511	60.9499999999948	9136.8763692422	61.0199999999943	12951.5783613303	61.0149999999947	17006.3293499064	60.9699999999953	20844.9056891055
61.1249999999944	1669.56109631	61.1400000000146	6328.8985223511	61.0499999999947	9222.8680897092	61.1199999999942	12936.9459565743	61.1149999999946	17087.4945371954	61.0699999999952	20837.7109077725
