Time	E	j
s	V RHE	mA cm-2
72.10014	1.04479	-3.2769E-6
72.20014	1.04477	-1.77896E-6
72.30014	1.04476	3.27685E-6
72.40014	1.04476	2.58256E-6
72.50014	1.04475	3.22149E-6
72.60014	1.04475	3.24094E-6
72.70014	1.04474	3.27685E-6
72.80014	1.04475	3.27685E-6
72.90014	1.04476	-1.23619E-6
73.00014	1.04475	-2.91574E-6
73.10014	1.04474	2.8901E-6
73.20014	1.04474	3.11046E-6
73.30015	1.04473	3.04501E-6
73.40014	1.04474	3.27685E-6
73.50014	1.04474	2.224E-6
73.60014	1.04475	-3.05891E-6
73.70014	1.04474	-2.99822E-6
73.80015	1.04474	-3.2769E-6
73.90014	1.04473	-2.86214E-6
74.00014	1.04472	-2.72903E-6
74.10014	1.04471	-5.06558E-7
74.20015	1.04471	-2.86456E-6
74.30015	1.0447	-2.24339E-6
74.40014	1.0447	-2.6211E-6
74.50014	1.04469	6.18943E-7
74.60015	1.0447	-2.03861E-6
74.70015	1.04469	-3.2769E-6
74.80015	1.04468	1.52971E-7
74.90014	1.04468	3.27685E-6
75.00014	1.04469	-3.19853E-7
75.10015	1.04469	-3.2769E-6
75.20015	1.04468	-3.2769E-6
75.30015	1.04468	-3.25896E-6
75.40014	1.04466	-1.65234E-6
75.50015	1.04465	3.16525E-6
75.60015	1.04465	-1.56902E-6
75.70015	1.04464	-1.1744E-6
75.80015	1.04464	-1.2898E-7
75.90014	1.04463	3.27685E-6
76.00015	1.04463	3.27685E-6
76.10015	1.04464	2.49728E-6
76.20015	1.04465	-3.26932E-6
76.30015	1.04464	4.0955E-7
76.40015	1.04463	3.27685E-6
76.50015	1.04464	1.81503E-6
76.60015	1.04464	2.2252E-6
76.70015	1.04465	-3.11954E-6
76.80015	1.04464	-3.2769E-6
76.90015	1.04463	-3.19679E-7
77.00015	1.04462	2.767E-6
77.10015	1.04463	-2.92073E-6
77.20015	1.04462	-8.78217E-7
77.30015	1.04462	1.99146E-6
77.40015	1.04462	-3.00902E-6
77.50015	1.04462	-2.69055E-6
77.60015	1.04461	-9.79251E-7
77.70016	1.0446	3.27685E-6
77.80015	1.04461	3.2742E-6
77.90015	1.04462	-2.05269E-6
78.00015	1.04461	-3.2769E-6
78.10015	1.04459	2.37347E-6
78.20016	1.0446	3.26336E-6
78.30015	1.0446	-8.00589E-7
78.40015	1.04459	-1.58151E-6
78.50015	1.04459	-2.06942E-6
78.60016	1.04459	-3.24082E-6
78.70016	1.04458	-3.2769E-6
78.80015	1.04458	-3.2769E-6
78.90015	1.04457	-3.2769E-6
79.00015	1.04456	-2.92582E-6
79.10016	1.04456	1.12639E-6
79.20016	1.04455	2.86325E-6
