Time	E	j
s	V RHE	mA cm-2
54.40011	0.9253	-2.91587E-6
54.50011	0.92528	2.89322E-6
54.60011	0.92537	1.00661E-6
54.70011	0.9254	3.31387E-6
54.80011	0.92552	-1.6627E-6
54.90011	0.92549	1.81113E-6
55.00011	0.92554	5.20498E-7
55.10011	0.92561	-1.69317E-6
55.20011	0.92564	-1.81666E-6
55.30011	0.92565	-8.37261E-7
55.40011	0.9257	3.06537E-6
55.50011	0.92577	1.44221E-6
55.60011	0.9258	-5.41717E-7
55.70011	0.92585	4.29591E-7
55.80011	0.92589	-1.37124E-6
55.90011	0.92588	-1.46604E-6
56.00011	0.92592	1.10595E-6
56.10011	0.92595	3.23401E-6
56.20011	0.92598	5.0464E-7
56.30011	0.92603	2.96814E-6
56.40011	0.92615	-2.02991E-6
56.50011	0.92612	-1.1385E-6
56.60011	0.92617	-2.87169E-6
56.70011	0.92614	1.14841E-6
56.80011	0.92621	-1.19029E-6
56.90011	0.9262	7.60101E-7
57.00011	0.92625	3.29924E-6
57.10011	0.92631	1.76091E-6
57.20011	0.92638	3.23585E-6
57.30011	0.92643	-2.23195E-6
57.40011	0.92644	5.91184E-7
57.50011	0.92646	-3.28402E-6
57.60011	0.9265	-1.74587E-6
57.70011	0.92651	-3.45685E-6
57.80011	0.92653	-8.65715E-7
57.90011	0.92656	3.10761E-6
58.00011	0.92663	9.27414E-7
58.10012	0.92668	3.28134E-6
58.20011	0.92673	-2.35228E-6
58.30011	0.92677	9.75917E-7
58.40011	0.92678	-2.65166E-6
58.50011	0.92683	2.07216E-6
58.60012	0.92682	3.44769E-6
58.70011	0.92692	1.32684E-6
58.80012	0.92697	-7.56971E-7
58.90011	0.92699	-1.76685E-7
59.00012	0.927	2.64784E-7
59.10012	0.92702	-2.94544E-6
59.20012	0.92698	1.77908E-6
59.30012	0.92701	2.82874E-6
59.40011	0.92705	2.63792E-6
59.50012	0.92714	3.40644E-6
59.60012	0.92722	2.37949E-6
59.70012	0.92726	9.31729E-7
59.80012	0.92729	1.47724E-7
59.90012	0.92733	2.95282E-6
